gene	log2PAO1A1	log2PAO1A2	log2PAO1A3	log2PAO1B1	log2PAO1B2	log2PAO1B3	log2PAO1C1	log2PAO1C2	log2PAO1C3	log2mutSA1	log2mutSA2	log2mutSA3	log2mutSB1	log2mutSB2	log2mutSB3	log2mutSC1	log2mutSC2	log2mutSC3
PA2002_at	-0.30608315	-0.784081564	-0.439082299	-0.756256532	-1.808243774	0.452643846	-0.572656099	-0.163524286	-0.621662471	-0.156214539	0.150228632	-0.007591613	0.212590329	2.641392877	0.388149514	1.154311445	-0.388139098	0.029944479
PA0180_at	-1.182281447	-1.188015883	-1.392851925	-1.85647932	-1.916413084	0.501027691	-0.224794373	-0.210378274	-0.983069093	0.241865831	0.280387649	0.244079573	-0.26573209	-0.23079357	0.068755939	0.518832269	0.035137436	-0.282336577
PA3205_at	-0.165250027	-1.033610209	-1.502234361	-1.402636143	-1.994885568	-1.187476582	-0.935135752	-1.139892298	-0.839439732	0.360244304	-0.049867297	-0.090559511	-0.561317168	-0.188102082	0.332763157	0.029508463	0.186831417	-0.692586926
PA2372_at	0.132219764	-0.451155715	-0.210945895	-3.068910598	-3.239974508	-0.72474344	0.105493129	-0.329024673	-1.073152371	0.354003603	0.360490951	0.206724694	-0.22777288	-0.359136576	0.131032719	1.017451034	-0.20997138	-0.19031241
PA2445_gcvP2_at	-0.733333673	-0.268176584	-0.788760594	-1.5617147	-3.320113163	1.336858173	0.998268602	0.219080765	-1.247247631	0.07520959	0.113039156	0.368012389	0.542456555	1.040226237	0.816935404	1.338885434	0.227059361	0.382414325
PA2652_at	-1.54247779	-1.737921042	-1.566664962	-1.28468943	-1.467312291	0.317663945	-0.910934636	0.031446424	-1.342103678	0.180499274	0.147418514	0.39154707	-0.078252809	-0.051201897	0.272286844	0.338558533	-0.172532409	-0.105862049
PA5355_glcD_at	-0.221058996	-1.024454625	-2.136416967	-1.874114641	-1.83526675	-0.680950136	-0.165185412	-0.835950845	-0.672422876	-0.011288764	0.118323765	-0.882528388	-0.118828004	0.129710179	0.5577687	1.512018123	0.055106024	-0.213459204
PA0996_at	0.188910979	0.279059449	-0.36771466	-1.191280706	-3.608277401	0.822800117	-0.476870017	-0.56703083	-2.122976879	-0.072134497	-0.139369766	0.386374376	0.273852737	0.304950305	2.404748103	0.168912122	-0.411561581	0.630506222
PA1458_at	-0.642492836	-1.224464894	-0.9870425	-0.539242834	-1.31034937	0.016221281	-0.54071341	-0.863375641	-0.114574349	1.670558111	1.172073964	1.423909119	-0.26083257	-0.13783952	0.34777561	0.30350045	0.416331477	-0.047778425
PA3662_at	-2.702322818	-3.053280591	-2.168407228	-2.209532716	-0.434404707	-1.457738575	-1.542441812	0.035228457	-1.674606301	-0.044681639	-0.672369743	-0.210727798	-0.75883074	-0.475970815	-0.99452617	-0.198422094	-0.124223599	-0.476623035
